date,total_trips,total_revenue
2021-12-02,123744,2620609.169999642
2021-08-02,79056,1582712.1500010358
2021-05-10,69697,1273157.1500006993
2021-03-01,50269,837727.4300002488
2020-10-22,57899,982967.2400003963
2020-10-25,37351,634008.9700000046
2020-12-25,17211,295452.1099999537
2020-11-22,30684,507624.52999988256
2020-11-29,29969,538947.5599999082
2020-08-05,33441,570918.129999931
2020-08-26,36360,618961.3499999865
2020-07-12,15644,286504.5299999628
2020-07-20,24914,421479.65999990486
2020-07-22,28753,481224.2599998814
2020-07-28,29507,485018.1499998778
2020-07-29,31425,523444.6999998649
2020-05-17,5944,100094.99000000587
2020-05-28,12041,196343.10999998674
2020-02-07,249644,4639550.439990707
2020-04-06,7648,119674.3700000095
2020-04-26,4499,73760.31000000337
2020-02-09,180351,3377533.519996383
2021-11-27,101274,2065166.3100014983
2021-11-22,107751,2193647.350001229
2021-08-31,89004,1733223.8300011768
2021-06-14,82472,1566489.0000010475
2021-08-19,94598,1867878.5000013306
2021-08-24,89005,1714684.7200012081
2021-08-30,79632,1597631.5800010583
2021-04-18,51046,940635.1700003044
2021-04-21,74265,1280249.9800007348
2021-04-24,74710,1321405.9200007604
2021-04-27,71588,1249675.730000715
2021-10-07,113541,2316479.860000706
2021-10-22,117749,2390901.000000477
2020-03-08,163516,3035631.809997679
2021-07-09,88399,1720460.830001201
2021-07-15,100993,1989670.050001465
2021-07-30,93682,1874562.0600013805
2021-05-08,75687,1317130.3200008099
2021-03-12,66438,1132284.730000581
2020-10-03,46601,774139.2500001893
2020-11-20,57530,964264.8600003996
2020-11-05,53152,883560.0800003062
2020-11-11,54589,864554.7500003069
2020-11-13,58657,960113.1100004012
2021-02-06,46836,766876.5400001747
2020-11-24,51899,857603.2700002728
2020-12-06,35134,579416.4299999381
2020-12-28,37314,640794.5300000067
2021-01-16,36265,602799.359999968
2020-09-12,39009,645379.4100000192
2020-09-15,45870,759050.8500001644
2020-08-19,33592,566198.1899999252
2020-08-20,35629,607913.3199999698
2020-08-30,25295,460244.129999908
2020-06-05,14387,255652.05999997695
2020-06-19,20088,350956.09999993513
2020-06-27,15821,270883.79999996343
2020-04-30,8445,133580.92000000877
2020-05-06,9446,150719.90000000218
2020-05-22,12183,199682.98999998515
2020-04-02,8259,129781.37000001007
2020-04-23,8039,123619.85000000944
2020-01-10,223295,4194834.509992794
2020-01-25,221380,3797846.849993866
2021-11-10,121732,2505560.1100001177
2021-11-24,103820,2131279.8500014734
2021-09-12,82206,1739137.8400010455
2021-09-28,96919,1841997.4600012724
2021-08-17,87350,1659857.780001141
2021-08-28,84614,1658767.4200011154
2021-04-09,73704,1309093.5600007554
2021-09-30,109972,2215709.350001096
2021-10-29,123433,2462016.3800001647
2021-10-24,94760,1968726.0000013057
2021-10-30,112548,2136203.760001441
2021-10-31,96469,1955996.7500013711
2021-12-10,128221,2750815.14999911
2021-12-11,124509,2512353.449999966
2021-12-31,68215,1375622.7600008273
2021-12-23,84538,1683562.8100012203
2021-12-29,72976,1532653.0600009034
2021-07-03,67437,1252508.850000764
2021-07-21,93322,1791377.7700012824
2021-07-28,94726,1810186.2300013048
2021-07-27,94533,1773182.0000013218
2021-05-15,84072,1519772.94000102
2021-05-16,62833,1213423.1100006022
2021-05-18,80396,1444026.0000009218
2021-03-07,36233,633066.4599999915
2021-03-17,66385,1086873.0700005621
2020-10-18,36939,638540.2100000056
2020-11-30,42132,701418.7200000745
2020-11-27,31647,518758.5099998662
2020-12-17,24482,401107.169999923
2021-02-02,26939,444239.97999990545
2021-04-07,69435,1210059.330000663
2021-02-09,48289,792321.5900001888
2021-01-11,42817,702527.5500000805
2021-01-27,48492,780142.9800001737
2021-01-28,52089,838493.8600002474
2020-09-14,40838,681630.5200000636
2020-09-26,44555,734303.5000001315
2020-09-28,37465,616558.289999983
2020-07-03,18595,312062.4099999407
2020-07-08,24735,418644.83999990753
2020-07-11,17110,284940.8099999589
2020-05-30,10096,167237.37999999654
2020-04-17,8924,140600.82000000632
2020-04-19,4775,77324.30000000344
2020-01-24,230647,4314546.499991806
2020-02-10,208931,3943251.84999422
2021-09-09,100053,2087986.7700014587
2021-09-20,87729,1828072.840001224
2021-06-28,86870,1651462.9900011905
2021-06-17,98150,1935431.220001402
2021-08-16,77908,1558499.5100010089
2021-08-18,91349,1750435.200001217
2021-04-15,75056,1317878.2100007618
2021-10-06,108434,2137063.4300013664
2021-10-12,103733,2055385.1300014737
2021-10-20,114322,2248823.480000976
2021-10-23,114726,2212245.170001081
2021-10-28,120933,2466615.980000231
2021-12-21,89318,1777202.6400012677
2020-03-03,219919,4093122.1999936863
2020-05-12,8983,142757.95000000537
2020-08-06,33799,567963.6399999238
2020-08-27,35544,609622.659999977
